City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Fenyi,CN,2020-08-23 16:47:40,27.81,114.67,80.35,78,0,1.7
239,Sehithwa,BW,2020-08-23 16:47:40,-20.47,22.72,69.91,34,8,1.41
240,Saint-Dizier,FR,2020-08-23 16:47:40,48.42,5.08,72.0,40,12,11.41
241,Barra Patuca,HN,2020-08-23 16:47:40,15.8,-84.28,86.92,68,68,8.63
242,Padang,ID,2020-08-23 16:47:41,-0.95,100.35,79.5,71,95,4.05
243,Slave Lake,CA,2020-08-23 16:47:42,55.28,-114.77,60.8,55,1,17.22
244,Fairbanks,US,2020-08-23 16:47:42,64.84,-147.72,55.0,93,90,1.57
245,Ribeira Grande,PT,2020-08-23 16:47:42,38.52,-28.7,77.0,83,40,8.05
246,Ust-Kuyga,RU,2020-08-23 16:47:42,70.02,135.6,31.6,96,84,6.76
247,Xining,CN,2020-08-23 16:47:42,36.62,101.77,52.92,82,9,1.34
248,Severo-Kurilsk,RU,2020-08-23 16:47:42,50.68,156.12,51.06,73,95,5.32
249,Bafq,IR,2020-08-23 16:47:42,31.61,55.41,88.81,12,0,7.85
250,Tazovskiy,RU,2020-08-23 16:47:43,67.47,78.7,54.81,90,100,9.44
251,Touros,BR,2020-08-23 16:47:43,-5.2,-35.46,82.4,61,40,17.22
252,Lompoc,US,2020-08-23 16:47:28,34.64,-120.46,75.2,73,1,2.17
253,Auki,SB,2020-08-23 16:47:43,-8.77,160.7,76.78,90,100,1.97
254,Ucluelet,CA,2020-08-23 16:47:43,48.93,-125.55,60.01,100,75,2.24
255,Lavrentiya,RU,2020-08-23 16:47:43,65.58,-171.0,46.65,95,97,4.79
256,Makakilo City,US,2020-08-23 16:47:44,21.35,-158.09,80.6,83,20,3.36
257,Mayo,US,2020-08-23 16:47:44,38.89,-76.51,87.01,88,20,11.41
258,Qui Nhon,VN,2020-08-23 16:47:44,13.77,109.23,80.8,79,92,6.02
259,Pulivendla,IN,2020-08-23 16:46:37,14.42,78.23,85.26,61,52,10.25
260,Narsaq,GL,2020-08-23 16:47:44,60.92,-46.05,55.4,62,0,9.17
261,Bathsheba,BB,2020-08-23 16:47:44,13.22,-59.52,86.0,74,75,13.87
262,Sao Sebastiao,BR,2020-08-23 16:47:44,-23.76,-45.41,66.65,67,48,3.67
263,Preobrazheniye,RU,2020-08-23 16:47:44,42.9,133.91,66.29,90,28,4.05
264,Port Elizabeth,ZA,2020-08-23 16:47:45,-33.92,25.57,60.8,77,20,20.8
265,Pandan,PH,2020-08-23 16:47:45,14.05,124.17,80.58,82,100,5.37
266,Mana,GF,2020-08-23 16:47:45,5.66,-53.78,84.94,69,4,10.11
267,Namikupa,TZ,2020-08-23 16:47:45,-10.83,39.6,70.59,73,100,6.31
268,Dobryanka,RU,2020-08-23 16:47:45,58.46,56.42,60.8,72,18,1.3
269,Klaksvik,FO,2020-08-23 16:47:45,62.23,-6.59,48.2,76,85,17.22
270,Namibe,AO,2020-08-23 16:47:45,-15.2,12.15,66.87,87,34,8.08
271,Hirata,JP,2020-08-23 16:47:46,35.43,132.82,75.2,100,40,3.36
272,Beihai,CN,2020-08-23 16:47:46,21.48,109.1,84.02,78,0,10.13
273,Svetlyy,RU,2020-08-23 16:47:46,54.67,20.13,70.0,64,20,13.42
274,Asyut,EG,2020-08-23 16:44:24,27.18,31.18,89.6,29,0,9.17
275,Wanaka,NZ,2020-08-23 16:47:46,-44.7,169.15,44.01,79,100,1.01
276,Ugoofaaru,MV,2020-08-23 16:47:46,5.67,73.0,84.42,64,90,2.46
