,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Rocha,UY,-34.48,-54.33,55.09,86,32,11.99,scattered clouds
150,Sola,VU,-13.88,167.55,81.7,82,25,12.33,light rain
151,Imbituba,BR,-28.24,-48.67,60.8,93,0,4.7,clear sky
152,Vaitape,PF,-16.52,-151.75,78.4,79,9,17.4,light rain
153,Kamaishi,JP,39.27,141.88,82.4,65,75,8.05,broken clouds
154,Isangel,VU,-19.55,169.27,78.8,83,75,9.17,broken clouds
155,Thinadhoo,MV,0.53,72.93,83.39,68,22,5.61,few clouds
156,Port Alfred,ZA,-33.59,26.89,62.56,87,100,18.05,light rain
157,Sioux Lookout,CA,50.1,-91.92,69.8,60,40,4.7,scattered clouds
158,Leningradskiy,RU,69.38,178.42,42.58,90,100,9.42,overcast clouds
159,Baruun-Urt,MN,46.68,113.28,64.45,51,2,5.73,clear sky
160,Hachinohe,JP,40.5,141.5,77.0,83,75,11.41,broken clouds
161,Ribeira Grande,PT,38.52,-28.7,73.71,92,86,13.2,overcast clouds
162,Comodoro Rivadavia,AR,-45.87,-67.5,39.2,86,90,5.82,drizzle
163,Lebu,CL,-37.62,-73.65,52.11,90,100,22.37,light rain
164,Hay River,CA,60.82,-115.8,60.8,72,75,8.05,broken clouds
165,Ayan,RU,56.45,138.17,55.65,88,99,12.93,light rain
166,Arlit,NE,18.74,7.39,90.82,43,24,6.76,few clouds
167,Ferkessedougou,CI,9.6,-5.2,70.56,89,100,4.59,overcast clouds
168,Tuatapere,NZ,-46.13,167.68,45.0,69,95,11.01,light rain
169,Sangar,RU,63.92,127.47,57.47,36,0,2.73,clear sky
170,Bhag,PK,29.04,67.82,96.84,36,97,10.96,overcast clouds
171,Vila Franca Do Campo,PT,37.72,-25.43,73.4,88,20,9.17,few clouds
172,Ibra,OM,22.69,58.53,81.3,67,96,3.4,overcast clouds
173,Touho,NC,-20.78,165.23,72.48,73,11,9.48,few clouds
174,Talnakh,RU,69.49,88.4,57.2,93,40,8.95,light intensity shower rain
175,Barabinsk,RU,55.36,78.36,53.08,90,0,6.17,clear sky
176,Bethel,US,41.37,-73.41,77.0,73,1,4.7,clear sky
