City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
188,Vila Velha,BR,66.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
189,Puerto El Triunfo,SV,80.6,scattered clouds,13.28,-88.55,Hotel Jardin
190,Kiunga,PG,82.85,broken clouds,-6.12,141.29,Airport Lodge Kiunga
191,Ponta Delgada,PT,73.4,few clouds,37.73,-25.67,Vila Nova Hotel
196,Airai,TL,71.62,clear sky,-8.93,125.41,Juvinal Martin
198,Port Blair,IN,83.39,overcast clouds,11.67,92.75,Fortune Resort Bay Island
202,Labuhan,ID,83.25,clear sky,-6.88,112.21,bador sepret
207,Colares,PT,70.0,overcast clouds,38.8,-9.45,Arribas Sintra Hotel
210,Waw,SS,69.24,overcast clouds,7.7,28.0,Universal Gab Hotel
211,Axim,GH,73.54,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
213,Tazmalt,DZ,73.4,clear sky,36.39,4.4,Hôtel Numédia
216,Tomatlan,MX,78.21,light rain,19.93,-105.25,Norma franco
218,Virginia Beach,US,81.0,overcast clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
219,Kloulklubed,PW,84.2,overcast clouds,7.04,134.26,Storyboard Beach Resort
221,Faanui,PF,77.59,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
223,Gat,IL,75.0,clear sky,31.61,34.76,רגע בנחת
225,Stephenville,US,84.2,clear sky,32.22,-98.2,Holiday Inn Express & Suites Stephenville
228,Norman Wells,CA,69.8,broken clouds,65.28,-126.83,Heritage Hotel
231,Russell,US,77.0,few clouds,32.35,-85.2,Macs
232,Lakhimpur,IN,82.85,few clouds,27.95,80.77,Hotel Surabhi
233,Hanzhong,CN,74.77,scattered clouds,33.07,107.03,Guorui Hotel
237,Yanam,IN,81.32,overcast clouds,16.73,82.22,The Regency Hotel
241,Aklavik,CA,68.0,few clouds,68.22,-135.01,Aklavik Inn
242,Shaunavon,CA,80.92,overcast clouds,49.65,-108.42,Bear's Den Lodge
244,Soanierana Ivongo,MG,68.5,light rain,-16.92,49.58,AZ
247,Trairi,BR,75.79,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
248,French Harbor,HN,84.42,overcast clouds,16.35,-86.43,"Fantasy Island Beach Resort, Dive & Marina"
250,Neiafu,TO,82.4,broken clouds,-18.65,-173.98,Mystic Sands
251,Zhoucheng,CN,81.9,broken clouds,35.91,116.31,Yingbin Restaurant
252,Juegang,CN,82.99,clear sky,32.32,121.19,Rudong Y Hotel
253,Ocho Rios,JM,78.01,overcast clouds,18.4,-77.1,Rooms Ocho Rios Hotel
254,Hamilton,US,80.01,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
261,Alta Floresta,BR,78.1,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
265,Mentana,IT,69.01,clear sky,42.03,12.64,Life Sport Hotel
266,Oristano,IT,73.4,clear sky,39.9,8.6,Hotel Mistral
267,Basco,PH,83.93,overcast clouds,20.45,121.97,Nathaniel's Lodge
270,Dubrovnik,HR,73.4,few clouds,42.65,18.09,Hotel Dubrovnik Palace
271,Tatawin,TN,78.8,clear sky,32.93,10.45,Sangho Privilege Tataouine
274,Dori,BF,76.93,broken clouds,14.04,-0.03,Oasis Annexe
275,Mercedes,AR,68.0,clear sky,-34.65,-59.43,Posada del Inti Centro
276,Yatou,CN,77.83,moderate rain,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
278,Puerto Madero,MX,78.8,broken clouds,14.72,-92.42,Hotel La Central
287,Pringsewu,ID,80.74,overcast clouds,-5.36,104.97,Urban Style by Front One
289,Dano,BF,73.15,moderate rain,11.15,-3.07,Auberge Phenix32-Dano
293,Luanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
295,Asfi,MA,71.64,clear sky,32.3,-9.24,Hôtel Abda
296,Galeras,CO,75.6,overcast clouds,9.16,-75.05,Finca el Naranjal
300,Champerico,GT,70.0,moderate rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
307,Palas,ID,83.59,overcast clouds,-5.65,105.68,Pon Pes Roudlotut Tholibin
316,Mahebourg,MU,69.8,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
319,Bandarbeyla,SO,74.97,broken clouds,9.49,50.81,REER XOOSHLE GROUP
321,Lexington,US,78.8,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
322,Kanor,IN,75.2,haze,24.43,74.27,"TULSI AMRIT HOSTEL , KANORE"
324,Baghdad,IQ,78.8,clear sky,33.34,44.4,Baghdad Hotel
327,Bowen,AU,75.2,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
329,Biak,ID,80.47,light rain,-0.91,122.88,Kost Ariz
331,Takoradi,GH,73.33,overcast clouds,4.88,-1.76,Raybow International Hotel
337,Mae Hong Son,TH,75.2,mist,19.3,97.97,Baiyoke Chalet Hotel
342,Poum,NC,71.06,overcast clouds,-20.23,164.02,Gîte kajeon
343,Mairwa,IN,84.51,overcast clouds,26.23,84.15,Shri Krishna Dharmshala
350,Porto Novo,BJ,75.2,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
352,Mogok,MM,66.58,light rain,22.92,96.5,MOGOK HILL HOTEL
353,Bubaque,GW,80.65,light rain,11.28,-15.83,Casa Dora
357,Pedasi,PA,79.72,moderate rain,7.53,-80.03,Selina Pedasi
359,Akyab,MM,81.37,moderate rain,20.15,92.9,Hotel Memory
360,Yalta,UA,70.77,clear sky,44.5,34.17,Yalta-Inturist
361,Manaus,BR,80.6,broken clouds,-3.1,-60.02,Hotel do Largo
364,Cabedelo,BR,69.8,clear sky,-6.98,-34.83,Lua Mansa Pousada
365,Vieques,PR,78.8,light rain,18.43,-65.83,"The St. Regis Bahia Beach Resort, Puerto Rico"
367,Bunda,TZ,69.06,few clouds,-2.05,33.87,Tembea Mara at Balili Village
371,Taft,IR,77.0,clear sky,31.75,54.21,بوم گردی حاجی زینل تفت
372,Hit,IQ,80.11,clear sky,33.64,42.83,Aboody Alhachem
374,Itaberaba,BR,67.37,scattered clouds,-12.53,-40.31,Araújo Hotel
377,Sao Raimundo Nonato,BR,75.34,scattered clouds,-9.02,-42.7,Real Hotel
378,Omboue,GA,73.98,overcast clouds,-1.57,9.26,Hotel Olako
